id,gastos
1,1450
2,967
3,1049
4,1568
5,1431
6,1580
7,2791
8,2500
9,1644
10,1804
11,1512
12,2693
13,858
14,930
15,1084
16,1997
17,1024
18,2004
19,1244
20,1769
21,1474
22,888
23,1165
24,2053
25,2000
26,1476
27,1038
28,989
29,2455
30,1624
31,1561
32,1371
33,1497
34,808
35,795
36,2056
37,923
38,1947
39,1517
40,1099
41,1989
42,2122
43,1011
44,1974
45,1991
46,1080
47,903
48,2338
49,1388
50,2252
51,2282
52,2666
53,982
54,1367
55,2711
56,2144
57,1941
58,1897
59,1402
60,930
61,1338
62,911
63,1105
64,1993
65,1311
66,2065
67,926
68,2062
69,2987
70,1532
71,1513
72,1568
73,1995
74,1914
75,2354
76,2470
77,2959
78,2755
79,1654
80,970
81,964
82,2301
83,1385
84,1434
85,1850
86,1861
87,2170
88,1462
89,866
90,1651
91,1475
92,2107
93,2250
94,2084
95,2736
96,876
97,977
98,1844
99,1558
100,2398
101,2379
102,982
103,1638
104,2479
105,1528
106,2295
107,1520
108,2582
109,1902
110,2100
111,1978
112,2726
113,1987
114,1990
115,1486
116,1578
117,2769
118,804
119,1046
120,2576
121,2572
122,1378
123,960
124,1036
125,1087
126,1551
127,1685
128,1143
129,936
130,1518
131,2992
132,1494
133,2334
134,1013
135,812
136,1031
137,1082
138,1560
139,1584
140,2997
141,2809
142,1423
143,1372
144,2715
145,1516
146,947
147,1931
148,1976
149,893
150,787
151,1799
152,2330
153,1358
154,974
155,853
156,2436
157,2420
158,1846
159,1448
160,1666
161,895
162,898
163,925
164,2776
165,2054
166,1502
167,978
168,946
169,1884
170,919
171,1500
172,2098
173,983
174,2192
175,2510
176,1857
177,1166
178,2882
179,926
180,2369
181,1940
182,1445
183,1173
184,1050
185,1174
186,1510
187,1010
188,1441
189,1395
190,2070
191,2427
192,2312
193,1386
194,974
195,780
196,1995
197,1692
198,960
199,1064
200,1402
201,886
202,2388
203,1924
204,2993
205,1490
206,921
207,1022
208,1542
209,1832
210,2895
211,1936
212,2401
213,1642
214,1523
215,1894
216,2057
217,1448
218,934
219,1206
220,2073
221,2985
222,937
223,1555
224,887
225,2923
226,1636
227,2004
228,2878
229,976
230,2785
231,1646
232,2436
233,1588
234,864
235,1987
236,942
237,1571
238,1752
239,1930
240,1503
241,1000
242,943
243,846
244,1976
245,1518
246,2616
247,1588
248,1118
249,1995
250,2743
251,1561
252,966
253,1611
254,2493
255,2061
256,2379
257,1538
258,1601
259,892
260,1538
